index_date;igpm
2015-01-01;0.566886227274746
2015-02-01;0.361939644265098
2015-03-01;0.910081042690453
2015-04-01;1.41155239276089
2015-05-01;0.634856566246624
2015-06-01;0.38653632450063
2015-07-01;0.977434944611572
2015-08-01;0.564015866660092
2015-09-01;0.727506300792852
2015-10-01;1.56814797323542
2015-11-01;1.53043733729788
2015-12-01;0.416353855672438
2016-01-01;0.996659606882897
2016-02-01;1.39307282680211
2016-03-01;0.387699591770458
2016-04-01;0.561865713374415
2016-05-01;1.07871766810307
2016-06-01;1.42235888502642
2016-07-01;0.44096888602137
2016-08-01;0.433829884856988
2016-09-01;-0.0367659718555153
2016-10-01;-0.153531924492981
2016-11-01;-0.0191202092242606
2016-12-01;0.444524651152196
2017-01-01;0.529185817577812
2017-02-01;0.197930365496901
2017-03-01;-0.143901925125641
2017-04-01;-0.877548370458025
2017-05-01;-0.617638981235647
2017-06-01;-0.92602379212524
2017-07-01;-0.47490865573046
2017-08-01;0.35575034871627
2017-09-01;0.205279154916071
2017-10-01;-0.0829021328870816
2017-11-01;0.551649789180263
2017-12-01;0.72344678353487
2018-01-01;0.691041176873112
2018-02-01;0.186247352121036
2018-03-01;0.49242440556944
2018-04-01;0.759526158184331
2018-05-01;1.78099975070108
2018-06-01;1.6111711146361
2018-07-01;0.7241445205582
2018-08-01;0.92257047161319
2018-09-01;1.22026325313883
2018-10-01;0.654027156052383
2018-11-01;-0.457981252888678
2018-12-01;-1.2426016440009
2019-01-01;-0.0562690110078862
2019-02-01;0.996394229434614
2019-03-01;1.10978872182268
2019-04-01;1.10749268994038
2019-05-01;0.850999750701084
2019-06-01;0.541171114636103
2019-07-01;0.612319476117064
2019-08-01;-0.451108629089815
2019-09-01;-0.312118501885015
2019-10-01;0.442729930325074
2019-11-01;0.32856145568454
2019-12-01;1.92238683093663
2020-01-01;0.453778245013285
2020-02-01;0.0761576197079726
2020-03-01;1.06134804983135
2020-04-01;0.996467145747617
2020-05-01;0.725075750257813
2020-06-01;1.29127561788161
2020-07-01;2.42293530231948
2020-08-01;2.91342801784027
2020-09-01;3.9798998964956
2020-10-01;3.05673188061528
2020-11-01;3.37199062921198
2020-12-01;0.715603050573432
2021-01-01;2.60200908299686
2021-02-01;2.67585497034472
2021-03-01;2.72857525617865
2021-04-01;1.67256752645579
2021-05-01;4.586821584147
2021-06-01;0.340593651739276
2021-07-01;0.949024928617902
2021-08-01;0.829403436769612
2021-09-01;-1.0357642736141
2021-10-01;0.474652185865955
